id,manufacturer,manufacturer_code,car_type,model,model_code,sub_model,gen_code,period,source,fuel,displacement_l,turbo,drivetrain,seat,battery_kwh,range_km,trim,msrp_manwon,fleet,special
mf-002.md-036.sm-ka4.pw-디젤-2-2.tr-프레스티지,기아,002,국산,카니발,036,더 뉴 카니발 KA4,KA4,23~현재,encar,디젤,2.2,False,,9,,,프레스티지,3551,False,False
mf-002.md-036.sm-ka4.pw-디젤-2-2.tr-노블레스,기아,002,국산,카니발,036,더 뉴 카니발 KA4,KA4,23~현재,encar,디젤,2.2,False,,9,,,노블레스,3991,False,False
mf-002.md-036.sm-ka4.pw-디젤-2-2.tr-시그니처,기아,002,국산,카니발,036,더 뉴 카니발 KA4,KA4,23~현재,encar,디젤,2.2,False,,9,,,시그니처,4356,False,False
mf-002.md-036.sm-ka4.pw-디젤-2-2.tr-그래비티,기아,002,국산,카니발,036,더 뉴 카니발 KA4,KA4,23~현재,encar,디젤,2.2,False,,9,,,그래비티,4459,False,False
mf-002.md-036.sm-ka4.pw-디젤-2-2.tr-노블레스,기아,002,국산,카니발,036,더 뉴 카니발 KA4,KA4,23~현재,encar,디젤,2.2,False,,7,,,노블레스,3991,False,False
mf-002.md-036.sm-ka4.pw-디젤-2-2.tr-시그니처,기아,002,국산,카니발,036,더 뉴 카니발 KA4,KA4,23~현재,encar,디젤,2.2,False,,7,,,시그니처,4356,False,False
mf-002.md-036.sm-ka4.pw-디젤-2-2.tr-그래비티,기아,002,국산,카니발,036,더 뉴 카니발 KA4,KA4,23~현재,encar,디젤,2.2,False,,7,,,그래비티,4459,False,False
mf-002.md-036.sm-ka4.pw-가솔린-3-5.tr-프레스티지,기아,002,국산,카니발,036,더 뉴 카니발 KA4,KA4,23~현재,encar,가솔린,3.5,False,,9,,,프레스티지,3551,False,False
mf-002.md-036.sm-ka4.pw-가솔린-3-5.tr-노블레스,기아,002,국산,카니발,036,더 뉴 카니발 KA4,KA4,23~현재,encar,가솔린,3.5,False,,9,,,노블레스,3991,False,False
mf-002.md-036.sm-ka4.pw-가솔린-3-5.tr-시그니처,기아,002,국산,카니발,036,더 뉴 카니발 KA4,KA4,23~현재,encar,가솔린,3.5,False,,9,,,시그니처,4356,False,False
mf-002.md-036.sm-ka4.pw-가솔린-3-5.tr-그래비티,기아,002,국산,카니발,036,더 뉴 카니발 KA4,KA4,23~현재,encar,가솔린,3.5,False,,9,,,그래비티,4459,False,False
mf-002.md-036.sm-ka4.pw-가솔린-3-5.tr-하이리무진-특장업체,기아,002,국산,카니발,036,더 뉴 카니발 KA4,KA4,23~현재,encar,가솔린,3.5,False,,9,,,하이리무진 (특장업체),,True,False
mf-002.md-036.sm-ka4.pw-가솔린-3-5.tr-노블레스,기아,002,국산,카니발,036,더 뉴 카니발 KA4,KA4,23~현재,encar,가솔린,3.5,False,,7,,,노블레스,3991,False,False
mf-002.md-036.sm-ka4.pw-가솔린-3-5.tr-시그니처,기아,002,국산,카니발,036,더 뉴 카니발 KA4,KA4,23~현재,encar,가솔린,3.5,False,,7,,,시그니처,4356,False,False
mf-002.md-036.sm-ka4.pw-가솔린-3-5.tr-x-line,기아,002,국산,카니발,036,더 뉴 카니발 KA4,KA4,23~현재,encar,가솔린,3.5,False,,7,,,X Line,4459,False,False
mf-002.md-036.sm-ka4.pw-가솔린-3-5.tr-그래비티,기아,002,국산,카니발,036,더 뉴 카니발 KA4,KA4,23~현재,encar,가솔린,3.5,False,,7,,,그래비티,4459,False,False
mf-002.md-036.sm-ka4.pw-하이브리드-1-6.tr-노블레스,기아,002,국산,카니발,036,더 뉴 카니발 KA4,KA4,23~현재,encar,하이브리드,1.6,False,,7,,,노블레스,3991,False,False
mf-002.md-036.sm-ka4.pw-하이브리드-1-6.tr-시그니처,기아,002,국산,카니발,036,더 뉴 카니발 KA4,KA4,23~현재,encar,하이브리드,1.6,False,,7,,,시그니처,4356,False,False
mf-002.md-036.sm-ka4.pw-하이브리드-1-6.tr-x-line,기아,002,국산,카니발,036,더 뉴 카니발 KA4,KA4,23~현재,encar,하이브리드,1.6,False,,7,,,X Line,4459,False,False
